state,value,date
Illinois,"369,873,431",2008-03-01
Indiana,"255,448,489",2008-03-01
Iowa,"127,580,345",2008-03-01
Kansas,"109,594,138",2008-03-01
Kentucky,"171,617,717",2008-03-01
Louisiana,"197,452,885",2008-03-01
Maine,"77,906,109",2008-03-01
Maryland,"228,056,475",2008-03-01
Massachusetts,"232,819,346",2008-03-01
Michigan,"375,714,194",2008-03-01
Minnesota,"209,801,032",2008-03-01
Mississippi,"145,208,080",2008-03-01
Missouri,"264,350,219",2008-03-01
Montana,"37,725,660",2008-03-01
Nebraska,"67,649,013",2008-03-01
Nevada,"96,889,997",2008-03-01
New Hampshire,"58,123,441",2008-03-01
New Jersey,"347,208,848",2008-03-01
New Mexico,"79,527,458",2008-03-01
New York,"482,534,545",2008-03-01
North Carolina,"366,273,517",2008-03-01
North Dakota,"28,094,480",2008-03-01
Ohio,"407,629,875",2008-03-01
Oklahoma,"141,401,405",2008-03-01
Oregon,"125,553,681",2008-03-01
Pennsylvania,"400,364,605",2008-03-01
Rhode Island,"33,714,515",2008-03-01
South Carolina,"227,035,656",2008-03-01
South Dakota,"31,255,900",2008-03-01
Tennessee,"255,937,917",2008-03-01
Texas,"1,027,483,134",2008-03-01
Utah,"90,363,963",2008-03-01
Vermont,"26,358,670",2008-03-01
Virginia,"333,194,966",2008-03-01
Washington,"226,006,497",2008-03-01
West Virginia,"65,649,497",2008-03-01
Wisconsin,"195,262,400",2008-03-01
Wyoming,"37,375,562",2008-03-01
Alabama,"198,461,216",2009-03-01
Alaska,"22,013,466",2009-03-01
Arizona,"235,615,839",2009-03-01
Arkansas,"122,370,261",2009-03-01
California,"1,284,419,269",2009-03-01
Colorado,"172,683,082",2009-03-01
Connecticut,"124,870,922",2009-03-01
Delaware,"36,576,291",2009-03-01
District of Columbia,"9,704,722",2009-03-01
Florida,"664,658,564",2009-03-01
Georgia,"414,679,751",2009-03-01
Hawaii,"39,270,719",2009-03-01
Idaho,"50,455,630",2009-03-01
Illinois,"406,281,673",2009-03-01
Indiana,"252,649,951",2009-03-01
Iowa,"128,324,460",2009-03-01
Kansas,"112,742,766",2009-03-01
Kentucky,"185,045,592",2009-03-01
Louisiana,"188,366,883",2009-03-01
Maine,"48,475,359",2009-03-01
Maryland,"264,434,986",2009-03-01
Massachusetts,"224,134,774",2009-03-01
Michigan,"359,079,351",2009-03-01
Minnesota,"200,645,723",2009-03-01
Mississippi,"146,932,979",2009-03-01
Missouri,"262,844,252",2009-03-01
Montana,"36,780,346",2009-03-01
Nebraska,"66,013,612",2009-03-01
Nevada,"94,010,270",2009-03-01
New Hampshire,"57,687,439",2009-03-01
New Jersey,"320,155,495",2009-03-01
New Mexico,"80,010,583",2009-03-01
New York,"445,782,781",2009-03-01
North Carolina,"363,713,999",2009-03-01
North Dakota,"27,405,745",2009-03-01
Ohio,"413,460,665",2009-03-01
Oklahoma,"155,827,266",2009-03-01
Oregon,"124,298,165",2009-03-01
Pennsylvania,"411,968,840",2009-03-01
Rhode Island,"32,275,529",2009-03-01
South Carolina,"253,481,940",2009-03-01
South Dakota,"44,403,306",2009-03-01
Tennessee,"272,840,738",2009-03-01
Texas,"1,031,883,020",2009-03-01
Utah,"88,607,184",2009-03-01
Vermont,"26,460,597",2009-03-01
Virginia,"356,534,737",2009-03-01
Washington,"226,037,157",2009-03-01
West Virginia,"68,067,334",2009-03-01
Wisconsin,"201,045,799",2009-03-01
Wyoming,"34,296,421",2009-03-01
Alabama,"201,596,676",2010-03-01
Alaska,"23,499,590",2010-03-01
Arizona,"235,732,900",2010-03-01
Arkansas,"115,939,414",2010-03-01
California,"1,274,076,761",2010-03-01
Colorado,"175,217,843",2010-03-01
Connecticut,"124,366,769",2010-03-01
Delaware,"36,826,745",2010-03-01
District of Columbia,"10,527,283",2010-03-01
Florida,"648,227,243",2010-03-01
Georgia,"421,139,762",2010-03-01
Hawaii,"33,169,561",2010-03-01
Idaho,"47,985,228",2010-03-01
Illinois,"386,827,282",2010-03-01
Indiana,"257,351,539",2010-03-01
Iowa,"136,551,466",2010-03-01
Kansas,"110,645,539",2010-03-01
Kentucky,"187,470,966",2010-03-01
Louisiana,"200,344,951",2010-03-01
Maine,"51,288,507",2010-03-01
Maryland,"230,674,835",2010-03-01
Massachusetts,"229,205,914",2010-03-01
Michigan,"357,708,751",2010-03-01
Minnesota,"203,969,948",2010-03-01
Mississippi,"149,161,340",2010-03-01
Missouri,"267,459,958",2010-03-01
Montana,"39,057,470",2010-03-01
Nebraska,"68,250,419",2010-03-01
Nevada,"91,816,852",2010-03-01
New Hampshire,"57,851,679",2010-03-01
New Jersey,"380,416,543",2010-03-01
New Mexico,"67,513,821",2010-03-01
New York,"432,579,674",2010-03-01
North Carolina,"376,538,819",2010-03-01
North Dakota,"29,353,717",2010-03-01
Ohio,"416,297,627",2010-03-01
Oklahoma,"158,309,749",2010-03-01
Oregon,"126,287,973",2010-03-01
Pennsylvania,"421,076,383",2010-03-01
Rhode Island,"31,364,891",2010-03-01
South Carolina,"250,249,500",2010-03-01
South Dakota,"36,391,856",2010-03-01
Tennessee,"254,250,889",2010-03-01
Texas,"1,051,646,700",2010-03-01
Utah,"89,193,586",2010-03-01
Vermont,"26,318,973",2010-03-01
Virginia,"341,758,181",2010-03-01
Washington,"231,137,930",2010-03-01
West Virginia,"66,108,289",2010-03-01
Wisconsin,"203,678,958",2010-03-01
Wyoming,"9,864,722",2010-03-01
Alabama,"200,240,236",2011-03-01
Alaska,"23,559,391",2011-03-01
Arizona,"234,481,787",2011-03-01
Arkansas,"122,419,077",2011-03-01
California,"1,240,401,704",2011-03-01
Colorado,"177,462,917",2011-03-01
Connecticut,"123,535,470",2011-03-01
Delaware,"36,534,891",2011-03-01
District of Columbia,"8,260,159",2011-03-01
Florida,"661,793,481",2011-03-01
Georgia,"431,227,134",2011-03-01
Hawaii,"50,457,921",2011-03-01
Idaho,"53,380,052",2011-03-01
Illinois,"394,451,071",2011-03-01
Indiana,"255,812,451",2011-03-01
Iowa,"139,454,472",2011-03-01
Kansas,"108,235,010",2011-03-01
Kentucky,"182,454,677",2011-03-01
Louisiana,"205,225,774",2011-03-01
Maine,"51,828,367",2011-03-01
Maryland,"228,963,214",2011-03-01
Massachusetts,"227,450,763",2011-03-01
Michigan,"365,652,192",2011-03-01
Minnesota,"200,364,662",2011-03-01
Mississippi,"144,657,043",2011-03-01
Missouri,"260,718,586",2011-03-01
Montana,"38,282,041",2011-03-01
Nebraska,"68,232,428",2011-03-01
Nevada,"91,564,475",2011-03-01
New Hampshire,"57,515,848",2011-03-01
New Jersey,"413,768,823",2011-03-01
New Mexico,"88,127,928",2011-03-01
New York,"433,388,106",2011-03-01
North Carolina,"365,573,499",2011-03-01
North Dakota,"32,833,137",2011-03-01
Ohio,"413,634,471",2011-03-01
Oklahoma,"103,581,669",2011-03-01
Oregon,"121,407,736",2011-03-01
Pennsylvania,"419,018,302",2011-03-01
Rhode Island,"32,187,013",2011-03-01
South Carolina,"220,582,446",2011-03-01
South Dakota,"25,100,619",2011-03-01
Tennessee,"271,561,104",2011-03-01
Texas,"1,066,830,628",2011-03-01
Utah,"92,871,337",2011-03-01
Vermont,"21,611,459",2011-03-01
Virginia,"331,901,464",2011-03-01
Washington,"224,050,146",2011-03-01
West Virginia,"29,400,877",2011-03-01
Wisconsin,"199,084,922",2011-03-01
Wyoming,"16,940,883",2011-03-01
Alabama,"206,351,945",2000-04-01
Alaska,"20,566,888",2000-04-01
Arizona,"200,242,297",2000-04-01
Arkansas,"112,862,081",2000-04-01
California,"1,243,241,833",2000-04-01
Colorado,"143,904,306",2000-04-01
Connecticut,"114,577,601",2000-04-01
Delaware,"31,718,670",2000-04-01
Dist. of Col.,"14,898,257",2000-04-01
Florida,"686,033,340",2000-04-01
Georgia,"391,965,211",2000-04-01
Hawaii,"35,781,899",2000-04-01
Idaho,"49,719,566",2000-04-01
Illinois,"590,822,558",2000-04-01
Indiana,"260,082,235",2000-04-01
Iowa,"124,023,284",2000-04-01
Kansas,"119,318,377",2000-04-01
Kentucky,"180,324,573",2000-04-01
Louisiana,"203,740,227",2000-04-01
Maine,"79,108,575",2000-04-01
Maryland,"172,441,437",2000-04-01
Massachusetts,"237,857,234",2000-04-01
Michigan,"390,092,685",2000-04-01
Minnesota,"202,268,016",2000-04-01
Mississippi,"138,526,892",2000-04-01
Missouri,"261,316,915",2000-04-01
Montana,"36,302,417",2000-04-01
Nebraska,"69,230,352",2000-04-01
Nevada,"76,381,363",2000-04-01
New Hampshire,"50,828,492",2000-04-01
New Jersey,"331,892,686",2000-04-01
New Mexico,"104,535,180",2000-04-01
New York,"442,722,773",2000-04-01
North Carolina,"338,465,225",2000-04-01
North Dakota,"28,138,886",2000-04-01
Ohio,"423,243,677",2000-04-01
Oklahoma,"157,640,520",2000-04-01
Oregon,"122,392,024",2000-04-01
Pennsylvania,"409,457,164",2000-04-01
Rhode Island,"32,874,991",2000-04-01
South Carolina,"187,566,337",2000-04-01
South Dakota,"32,827,349",2000-04-01
Tennessee,"244,945,595",2000-04-01
Texas,"890,979,249",2000-04-01
Utah,"79,364,333",2000-04-01
Vermont,"26,849,788",2000-04-01
Virginia,"302,439,879",2000-04-01
Washington,"216,526,517",2000-04-01
West Virginia,"77,114,059",2000-04-01
Wisconsin,"200,723,102",2000-04-01
Wyoming,"13,642,468",2000-04-01
Alabama,"207,011,192",2001-04-01
Alaska,"21,849,592",2001-04-01
Arizona,"207,455,170",2001-04-01
Arkansas,"119,467,064",2001-04-01
California,"1,241,380,739",2001-04-01
Colorado,"223,518,964",2001-04-01
Connecticut,"115,737,958",2001-04-01
Delaware,"33,224,648",2001-04-01
District of Columbia,"14,335,636",2001-04-01
Florida,"667,422,742",2001-04-01
Georgia,"403,698,066",2001-04-01
Hawaii,"39,255,941",2001-04-01
Idaho,"39,685,760",2001-04-01
Illinois,"456,701,773",2001-04-01
Indiana,"263,805,771",2001-04-01
Iowa,"130,494,981",2001-04-01
Kansas,"113,958,495",2001-04-01
Kentucky,"171,966,232",2001-04-01
Louisiana,"184,797,837",2001-04-01
Maine,"69,646,916",2001-04-01
Maryland,"206,224,345",2001-04-01
Massachusetts,"225,933,392",2001-04-01
Michigan,"407,040,983",2001-04-01
Minnesota,"212,176,990",2001-04-01
Mississippi,"131,617,237",2001-04-01
Missouri,"267,988,784",2001-04-01
Montana,"39,119,912",2001-04-01
Nebraska,"72,518,390",2001-04-01
Nevada,"79,949,728",2001-04-01
New Hampshire,"52,062,835",2001-04-01
New Jersey,"328,263,810",2001-04-01
New Mexico,"86,365,177",2001-04-01
New York,"433,352,148",2001-04-01
North Carolina,"349,404,408",2001-04-01
North Dakota,"28,940,358",2001-04-01
Ohio,"429,640,543",2001-04-01
Oklahoma,"160,182,241",2001-04-01
Oregon,"130,202,502",2001-04-01
Pennsylvania,"420,342,918",2001-04-01
Rhode Island,"33,506,249",2001-04-01
South Carolina,"192,169,194",2001-04-01
South Dakota,"35,041,369",2001-04-01
Tennessee,"251,818,549",2001-04-01
Texas,"901,152,646",2001-04-01
Utah,"75,916,242",2001-04-01
Vermont,"25,248,461",2001-04-01
Virginia,"310,717,782",2001-04-01
Washington,"223,407,290",2001-04-01
West Virginia,"71,138,347",2001-04-01
Wisconsin,"203,761,633",2001-04-01
Wyoming,"23,582,655",2001-04-01
Alabama,"210,347,648",2002-04-01
Alaska,"18,352,423",2002-04-01
Arizona,"221,561,131",2002-04-01
Arkansas,"121,755,471",2002-04-01
California,"1,333,304,005",2002-04-01
Colorado,"164,777,380",2002-04-01
Connecticut,"135,201,601",2002-04-01
Delaware,"35,902,468",2002-04-01
District of Columbia,"12,734,616",2002-04-01
Florida,"723,505,403",2002-04-01
Georgia,"411,304,616",2002-04-01
Hawaii,"25,635,720",2002-04-01
Idaho,"46,212,628",2002-04-01
Illinois,"442,253,151",2002-04-01
Indiana,"266,636,945",2002-04-01
Iowa,"134,620,239",2002-04-01
Kansas,"125,054,415",2002-04-01
Kentucky,"182,246,748",2002-04-01
Louisiana,"187,052,019",2002-04-01
Maine,"79,533,148",2002-04-01
Maryland,"206,160,700",2002-04-01
Massachusetts,"232,605,333",2002-04-01
Michigan,"407,295,314",2002-04-01
Minnesota,"210,019,044",2002-04-01
Mississippi,"139,711,622",2002-04-01
Missouri,"262,455,450",2002-04-01
Montana,"37,834,563",2002-04-01
Nebraska,"71,327,526",2002-04-01
Nevada,"79,949,728",2002-04-01
New Hampshire,"53,687,707",2002-04-01
New Jersey,"356,412,352",2002-04-01
New Mexico,"110,306,813",2002-04-01
New York,"484,961,374",2002-04-01
North Carolina,"362,307,263",2002-04-01
North Dakota,"27,925,708",2002-04-01
Ohio,"436,285,836",2002-04-01
Oklahoma,"145,042,383",2002-04-01
Oregon,"117,760,602",2002-04-01
Pennsylvania,"449,313,741",2002-04-01
Rhode Island,"33,437,101",2002-04-01
South Carolina,"198,891,388",2002-04-01
South Dakota,"34,104,976",2002-04-01
Tennessee,"265,089,328",2002-04-01
Texas,"953,728,814",2002-04-01
Utah,"87,960,350",2002-04-01
Vermont,"26,343,296",2002-04-01
Virginia,"357,130,022",2002-04-01
Washington,"224,434,293",2002-04-01
West Virginia,"35,048,475",2002-04-01
Wisconsin,"201,994,689",2002-04-01
Wyoming,"31,860,409",2002-04-01
Alabama,"205,002,420",2003-04-01
Alaska,"20,406,719",2003-04-01
Arizona,"219,538,355",2003-04-01
Arkansas,"122,645,240",2003-04-01
California,"1,272,053,275",2003-04-01
Colorado,"168,582,533",2003-04-01
Connecticut,"136,743,539",2003-04-01
Delaware,"32,713,400",2003-04-01
District of Columbia,"13,053,889",2003-04-01
Florida,"726,527,955",2003-04-01
Georgia,"417,070,562",2003-04-01
Hawaii,"32,168,723",2003-04-01
Idaho,"43,044,561",2003-04-01
Illinois,"426,518,648",2003-04-01
Indiana,"268,621,436",2003-04-01
Iowa,"131,597,266",2003-04-01
Kansas,"112,194,773",2003-04-01
Kentucky,"190,678,205",2003-04-01
Louisiana,"198,048,324",2003-04-01
Maine,"53,199,597",2003-04-01
Maryland,"218,906,261",2003-04-01
Massachusetts,"244,316,192",2003-04-01
Michigan,"350,400,728",2003-04-01
Minnesota,"214,794,005",2003-04-01
Mississippi,"114,495,598",2003-04-01
Missouri,"263,875,055",2003-04-01
Montana,"37,638,260",2003-04-01
Nebraska,"69,318,562",2003-04-01
Nevada,"84,356,512",2003-04-01
New Hampshire,"54,887,564",2003-04-01
New Jersey,"343,723,543",2003-04-01
New Mexico,"81,775,143",2003-04-01
New York,"467,898,920",2003-04-01
North Carolina,"352,763,967",2003-04-01
North Dakota,"28,765,304",2003-04-01
Ohio,"431,948,345",2003-04-01
Oklahoma,"161,951,418",2003-04-01
Oregon,"121,049,314",2003-04-01
Pennsylvania,"429,643,142",2003-04-01
Rhode Island,"33,899,119",2003-04-01
South Carolina,"200,423,469",2003-04-01
South Dakota,"34,276,791",2003-04-01
Tennessee,"276,332,007",2003-04-01
Texas,"950,296,699",2003-04-01
Utah,"82,756,923",2003-04-01
Vermont,"25,140,555",2003-04-01
Virginia,"433,020,627",2003-04-01
Washington,"220,599,007",2003-04-01
West Virginia,"61,727,129",2003-04-01
Wisconsin,"198,715,461",2003-04-01
Wyoming,"20,451,402",2003-04-01
Alabama,"215,207,467",2004-04-01
Alaska,"17,225,214",2004-04-01
Arizona,"229,054,422",2004-04-01
Arkansas,"124,098,488",2004-04-01
California,"1,326,800,026",2004-04-01
Colorado,"173,726,301",2004-04-01
Connecticut,"127,610,943",2004-04-01
Delaware,"34,712,818",2004-04-01
District of Columbia,"12,547,838",2004-04-01
Florida,"773,142,006",2004-04-01
Georgia,"437,385,398",2004-04-01
Hawaii,"34,551,362",2004-04-01
Idaho,"44,423,837",2004-04-01
Illinois,"494,349,322",2004-04-01
Indiana,"276,016,403",2004-04-01
Iowa,"139,731,188",2004-04-01
Kansas,"112,904,605",2004-04-01
Kentucky,"201,461,619",2004-04-01
Louisiana,"194,208,848",2004-04-01
Maine,"55,484,607",2004-04-01
Maryland,"221,888,270",2004-04-01
Massachusetts,"231,871,466",2004-04-01
Michigan,"422,372,227",2004-04-01
Minnesota,"223,236,218",2004-04-01
Mississippi,"142,652,885",2004-04-01
Missouri,"281,555,174",2004-04-01
Montana,"39,890,084",2004-04-01
Nebraska,"72,766,336",2004-04-01
Nevada,"90,419,713",2004-04-01
New Hampshire,"56,597,486",2004-04-01
New Jersey,"397,045,286",2004-04-01
New Mexico,"82,000,382",2004-04-01
New York,"488,083,610",2004-04-01
North Carolina,"366,911,491",2004-04-01
North Dakota,"30,622,848",2004-04-01
Ohio,"437,524,897",2004-04-01
Oklahoma,"159,483,223",2004-04-01
Oregon,"127,418,936",2004-04-01
Pennsylvania,"438,912,651",2004-04-01
Rhode Island,"31,940,766",2004-04-01
South Carolina,"216,955,975",2004-04-01
South Dakota,"35,033,291",2004-04-01
Tennessee,"262,188,431",2004-04-01
Texas,"976,080,149",2004-04-01
Utah,"86,136,799",2004-04-01
Vermont,"26,381,638",2004-04-01
Virginia,"425,717,745",2004-04-01
Washington,"228,726,507",2004-04-01
West Virginia,"38,989,471",2004-04-01
Wisconsin,"212,454,323",2004-04-01
Wyoming,"19,470,933",2004-04-01
Alabama,"217,745,660",2005-04-01
Alaska,"23,211,879",2005-04-01
Arizona,"237,370,757",2005-04-01
Arkansas,"119,949,327",2005-04-01
California,"1,319,687,286",2005-04-01
Colorado,"172,521,402",2005-04-01
Connecticut,"128,941,863",2005-04-01
Delaware,"37,351,880",2005-04-01
District of Columbia,"11,933,867",2005-04-01
Florida,"790,098,395",2005-04-01
Georgia,"424,590,722",2005-04-01
Hawaii,"67,604,375",2005-04-01
Idaho,"42,679,415",2005-04-01
Illinois,"431,699,328",2005-04-01
Indiana,"267,273,547",2005-04-01
Iowa,"134,235,338",2005-04-01
Kansas,"113,583,455",2005-04-01
Kentucky,"186,858,943",2005-04-01
Louisiana,"217,836,362",2005-04-01
Maine,"51,711,248",2005-04-01
Maryland,"241,345,257",2005-04-01
Massachusetts,"229,791,815",2005-04-01
Michigan,"384,324,424",2005-04-01
Minnesota,"215,150,684",2005-04-01
Mississippi,"137,357,584",2005-04-01
Missouri,"269,371,027",2005-04-01
Montana,"37,768,774",2005-04-01
Nebraska,"67,259,665",2005-04-01
Nevada,"90,353,268",2005-04-01
New Hampshire,"56,838,558",2005-04-01
New Jersey,"360,582,219",2005-04-01
New Mexico,"70,568,498",2005-04-01
New York,"440,592,967",2005-04-01
North Carolina,"366,054,405",2005-04-01
North Dakota,"28,719,217",2005-04-01
Ohio,"428,211,643",2005-04-01
Oklahoma,"135,999,253",2005-04-01
Oregon,"123,144,854",2005-04-01
Pennsylvania,"425,474,386",2005-04-01
Rhode Island,"32,661,657",2005-04-01
South Carolina,"202,081,305",2005-04-01
South Dakota,"32,836,892",2005-04-01
Tennessee,"270,529,635",2005-04-01
Texas,"957,964,182",2005-04-01
Utah,"83,531,853",2005-04-01
Vermont,"25,822,738",2005-04-01
Virginia,"342,450,817",2005-04-01
Washington,"221,335,194",2005-04-01
West Virginia,"86,886,905",2005-04-01
Wisconsin,"215,649,229",2005-04-01
Wyoming,"23,967,430",2005-04-01
Alabama,"224,739,126",2006-04-01
Alaska,"22,005,917",2006-04-01
Arizona,"245,725,291",2006-04-01
Arkansas,"119,189,426",2006-04-01
California,"1,298,976,398",2006-04-01
Colorado,"174,860,458",2006-04-01
Connecticut,"127,527,640",2006-04-01
Delaware,"38,025,659",2006-04-01
District of Columbia,"11,975,194",2006-04-01
Florida,"783,488,896",2006-04-01
Georgia,"419,475,405",2006-04-01
Hawaii,"39,931,685",2006-04-01
Idaho,"45,859,191",2006-04-01
Illinois,"428,530,307",2006-04-01
Indiana,"263,992,765",2006-04-01
Iowa,"135,285,988",2006-04-01
Kansas,"110,189,617",2006-04-01
Kentucky,"188,635,199",2006-04-01
Louisiana,"200,119,907",2006-04-01
Maine,"53,445,268",2006-04-01
Maryland,"228,150,994",2006-04-01
Massachusetts,"226,056,502",2006-04-01
Michigan,"395,405,801",2006-04-01
Minnesota,"213,138,063",2006-04-01
Mississippi,"145,922,969",2006-04-01
Missouri,"263,112,611",2006-04-01
Montana,"39,196,207",2006-04-01
Nebraska,"67,493,690",2006-04-01
Nevada,"97,002,487",2006-04-01
New Hampshire,"55,202,909",2006-04-01
New Jersey,"352,758,305",2006-04-01
New Mexico,"79,985,457",2006-04-01
New York,"435,925,848",2006-04-01
North Carolina,"364,563,783",2006-04-01
North Dakota,"24,200,155",2006-04-01
Ohio,"425,515,038",2006-04-01
Oklahoma,"181,661,385",2006-04-01
Oregon,"131,323,958",2006-04-01
Pennsylvania,"418,639,798",2006-04-01
Rhode Island,"33,342,031",2006-04-01
South Carolina,"212,013,249",2006-04-01
South Dakota,"33,384,525",2006-04-01
Tennessee,"272,940,403",2006-04-01
Texas,"988,532,183",2006-04-01
Utah,"87,676,586",2006-04-01
Vermont,"25,557,812",2006-04-01
Virginia,"339,787,630",2006-04-01
Washington,"225,528,934",2006-04-01
West Virginia,"83,740,046",2006-04-01
Wisconsin,"203,739,054",2006-04-01
Wyoming,"21,017,267",2006-04-01
Alabama,"228,978,805",2007-04-01
Alaska,"22,940,167",2007-04-01
Arizona,"233,044,100",2007-04-01
Arkansas,"122,704,251",2007-04-01
California,"1,289,099,402",2007-04-01
Colorado,"172,883,078",2007-04-01
Connecticut,"133,328,446",2007-04-01
Delaware,"36,601,962",2007-04-01
District of Columbia,"10,218,062",2007-04-01
Florida,"784,764,134",2007-04-01
Georgia,"413,515,059",2007-04-01
Hawaii,"49,195,443",2007-04-01
Idaho,"47,984,394",2007-04-01
Illinois,"454,381,000",2007-04-01
Indiana,"264,079,889",2007-04-01
Iowa,"137,351,330",2007-04-01
Kansas,"109,370,380",2007-04-01
Kentucky,"185,747,873",2007-04-01
Louisiana,"186,642,549",2007-04-01
Maine,"56,589,291",2007-04-01
Maryland,"249,471,636",2007-04-01
Massachusetts,"228,658,071",2007-04-01
Michigan,"381,480,568",2007-04-01
Minnesota,"212,961,453",2007-04-01
Mississippi,"137,062,598",2007-04-01
Missouri,"268,981,443",2007-04-01
Montana,"38,132,650",2007-04-01
Nebraska,"68,933,823",2007-04-01
Nevada,"97,713,693",2007-04-01
New Hampshire,"56,029,638",2007-04-01
New Jersey,"361,707,114",2007-04-01
New Mexico,"80,359,196",2007-04-01
New York,"425,703,967",2007-04-01
North Carolina,"379,268,340",2007-04-01
North Dakota,"32,814,180",2007-04-01
Ohio,"420,593,035",2007-04-01
Oklahoma,"157,555,901",2007-04-01
Oregon,"133,071,045",2007-04-01
Pennsylvania,"420,803,005",2007-04-01
Rhode Island,"32,319,358",2007-04-01
South Carolina,"284,770,351",2007-04-01
South Dakota,"33,070,742",2007-04-01
Tennessee,"266,776,894",2007-04-01
Texas,"988,138,575",2007-04-01
Utah,"106,195,870",2007-04-01
Vermont,"25,432,417",2007-04-01
Virginia,"356,769,327",2007-04-01
Washington,"223,249,477",2007-04-01
West Virginia,"66,827,819",2007-04-01
Wisconsin,"211,428,533",2007-04-01
Wyoming,"31,275,051",2007-04-01
Alabama,"218,589,888",2008-04-01
Alaska,"26,629,411",2008-04-01
Arizona,"235,233,992",2008-04-01
Arkansas,"116,483,654",2008-04-01
California,"1,260,562,575",2008-04-01
Colorado,"171,883,092",2008-04-01
Connecticut,"122,937,923",2008-04-01
Delaware,"39,977,817",2008-04-01
District of Columbia,"10,632,084",2008-04-01
Florida,"745,561,279",2008-04-01
Georgia,"402,935,087",2008-04-01
Hawaii,"40,309,489",2008-04-01
Idaho,"47,628,783",2008-04-01
Illinois,"438,363,049",2008-04-01
Indiana,"252,201,729",2008-04-01
Iowa,"130,344,279",2008-04-01
Kansas,"109,080,386",2008-04-01
Kentucky,"178,332,685",2008-04-01
Louisiana,"191,186,745",2008-04-01
Maine,"51,208,271",2008-04-01
Maryland,"228,201,074",2008-04-01
Massachusetts,"226,542,473",2008-04-01
Michigan,"382,352,217",2008-04-01
Minnesota,"207,557,240",2008-04-01
Mississippi,"133,626,891",2008-04-01
Missouri,"265,434,592",2008-04-01
Montana,"37,124,354",2008-04-01
Nebraska,"66,822,048",2008-04-01
Nevada,"95,095,539",2008-04-01
New Hampshire,"56,362,754",2008-04-01
New Jersey,"363,948,152",2008-04-01
New Mexico,"81,332,440",2008-04-01
New York,"448,301,110",2008-04-01
North Carolina,"379,033,272",2008-04-01
North Dakota,"28,323,774",2008-04-01
Ohio,"415,437,236",2008-04-01
Oklahoma,"167,627,137",2008-04-01
Oregon,"124,489,190",2008-04-01
Pennsylvania,"416,030,297",2008-04-01
Rhode Island,"33,141,576",2008-04-01
South Carolina,"189,239,100",2008-04-01
South Dakota,"31,927,444",2008-04-01
Tennessee,"260,707,137",2008-04-01
Texas,"993,639,077",2008-04-01
Utah,"88,995,619",2008-04-01
Vermont,"24,834,799",2008-04-01
Virginia,"340,975,376",2008-04-01
Washington,"219,013,187",2008-04-01
West Virginia,"32,852,924",2008-04-01
Wisconsin,"247,476,585",2008-04-01
Wyoming,"20,471,712",2008-04-01
Alabama,"219,891,909",2009-04-01
Alaska,"21,903,980",2009-04-01
Arizona,"226,182,311",2009-04-01
Arkansas,"123,006,829",2009-04-01
California,"1,249,330,377",2009-04-01
Colorado,"165,087,419",2009-04-01
Connecticut,"124,536,762",2009-04-01
Delaware,"37,397,780",2009-04-01
District of Columbia,"8,605,458",2009-04-01
Florida,"745,302,910",2009-04-01
Georgia,"418,340,695",2009-04-01
Hawaii,"35,106,770",2009-04-01
Idaho,"43,778,372",2009-04-01
Illinois,"449,876,635",2009-04-01
Indiana,"255,510,307",2009-04-01
Iowa,"136,388,983",2009-04-01
Kansas,"109,939,837",2009-04-01
Kentucky,"188,119,705",2009-04-01
Louisiana,"193,145,352",2009-04-01
Maine,"50,488,744",2009-04-01
Maryland,"267,188,017",2009-04-01
Massachusetts,"225,111,527",2009-04-01
Michigan,"378,593,037",2009-04-01
Minnesota,"200,774,758",2009-04-01
Mississippi,"131,497,315",2009-04-01
Missouri,"266,976,266",2009-04-01
Montana,"37,552,710",2009-04-01
Nebraska,"61,621,981",2009-04-01
Nevada,"92,529,893",2009-04-01
New Hampshire,"56,648,890",2009-04-01
New Jersey,"363,615,505",2009-04-01
New Mexico,"77,819,352",2009-04-01
New York,"438,903,230",2009-04-01
North Carolina,"374,020,462",2009-04-01
North Dakota,"28,478,442",2009-04-01
Ohio,"415,923,255",2009-04-01
Oklahoma,"159,373,273",2009-04-01
Oregon,"119,188,151",2009-04-01
Pennsylvania,"422,155,778",2009-04-01
Rhode Island,"31,385,445",2009-04-01
South Carolina,"231,280,463",2009-04-01
South Dakota,"27,634,687",2009-04-01
Tennessee,"250,428,769",2009-04-01
Texas,"1,006,129,003",2009-04-01
Utah,"87,360,981",2009-04-01
Vermont,"25,338,776",2009-04-01
Virginia,"305,499,721",2009-04-01
Washington,"222,272,480",2009-04-01
West Virginia,"37,517,768",2009-04-01
Wisconsin,"197,845,233",2009-04-01
Wyoming,"24,210,275",2009-04-01
Alabama,"227,375,010",2010-04-01
Alaska,"21,129,843",2010-04-01
Arizona,"234,306,795",2010-04-01
Arkansas,"127,149,122",2010-04-01
California,"1,257,774,730",2010-04-01
Colorado,"171,093,893",2010-04-01
Connecticut,"124,549,371",2010-04-01
Delaware,"39,189,740",2010-04-01
District of Columbia,"9,613,017",2010-04-01
Florida,"731,333,692",2010-04-01
Georgia,"418,207,987",2010-04-01
Hawaii,"32,986,263",2010-04-01
Idaho,"49,790,428",2010-04-01
Illinois,"411,363,142",2010-04-01
Indiana,"262,676,567",2010-04-01
Iowa,"140,874,429",2010-04-01
Kansas,"111,830,158",2010-04-01
